mode,metric,mean,lo,hi,sig
semantic,MUTUAL,-8.66252564102564,-12.058493589743591,-5.197115384615393,*
semantic,REL,3.023842948717949,-3.520673076923076,10.006410256410255,
semantic,GOAL,5.361741758241759,1.2617254273504273,9.747931929181918,*
semantic,KNO,-6.733438415750916,-15.51308379120879,2.2757211538461535,
semantic,CONFUSION,-3.4382756410256405,-6.525961538461537,-0.23685897435897602,*
semantic,BEL,-3.026815476190476,-4.944291819291818,-1.1659607753357757,*
cultural,MUTUAL,8.476346153846153,5.185576923076923,11.64102564102564,*
cultural,REL,13.674115384615384,5.732211538461538,22.378685897435894,*
cultural,GOAL,-0.627536782661783,-4.200263278388279,2.827793040293039,
cultural,KNO,8.619232142857141,1.4538690476190468,15.92873168498168,*
cultural,CONFUSION,5.42963141025641,2.601923076923077,8.262820512820511,*
cultural,BEL,1.9693223443223442,0.11593788156288161,3.7157738095238084,*
emotional,MUTUAL,0.17810576923076912,-3.295352564102564,3.5711538461538423,
emotional,REL,-16.727198717948713,-24.53221153846154,-9.294391025641028,*
emotional,GOAL,-4.575173534798535,-9.427369505494505,0.017135989010987816,
emotional,KNO,-2.0449686355311356,-8.447081043956043,4.321474358974356,
emotional,CONFUSION,-1.943477564102564,-4.455128205128204,0.5834935897435887,
emotional,BEL,1.0445638736263736,-0.6717032967032968,2.8138736263736246,
